REPLACE0,REPLACE1,REPLACE2,REPLACE3,Type,REPLACE4,REPLACE5,REPLACE6,REPLACE7,REPLACE8,REPLACE9,REPLACE10,REPLACE11,REPLACE12,REPLACE13,REPLACE14,REPLACE15,REPLACE16,REPLACE17,REPLACE18
LegandExp_39,DSDP,Site_357,Hole_357,T,Eiffellithus_eximius_Top_Depth,Eiffellithus eximius Top Depth,Records172_Eiffellithus_eximius,None,"39_357,36-CC","39_357,37-CC",None,631,615.5,646.5,75.93,None,None,None,NeptuneSB
LegandExp_62,DSDP,Site_463,Hole_463,B,Eiffellithus_eximius_Base_Depth,Eiffellithus eximius Base Depth,Records173_Eiffellithus_eximius,None,None,None,None,206,205,207,92.99,None,None,None,NeptuneSB
LegandExp_71,DSDP,Site_511,Hole_511,T,Eiffellithus_eximius_Top_Depth,Eiffellithus eximius Top Depth,Records174_Eiffellithus_eximius,None,"71_511,28-4,15","71_511,28-5,15",None,228.9,228.15,229.65,75.93,None,None,None,NeptuneSB
LegandExp_171B,DSDP,Site_1049,Hole_1049A,T,Eiffellithus_eximius_Top_Depth,Eiffellithus eximius Top Depth,Records175_Eiffellithus_eximius,None,"171_1049A,19-1,16","171_1049A,19-1,16",None,144.06,144.06,144.06,75.93,None,None,None,NeptuneSB
LegandExp_171B,DSDP,Site_1050,Hole_1050C,T,Eiffellithus_eximius_Top_Depth,Eiffellithus eximius Top Depth,Records176_Eiffellithus_eximius,None,None,None,None,480.58,478.9,482.26,75.93,None,None,None,NeptuneSB
LegandExp_171B,DSDP,Site_1050,Hole_1050C,T,Eiffellithus_eximius_Top_Depth,Eiffellithus eximius Top Depth,Records177_Eiffellithus_eximius,None,"171_1050C,19-1,126","171_1050C,19-1,126",None,482.26,482.26,482.26,75.93,None,None,None,NeptuneSB
LegandExp_171B,DSDP,Site_1050,Hole_1050C,B,Eiffellithus_eximius_Base_Depth,Eiffellithus eximius Base Depth,Records178_Eiffellithus_eximius,None,None,None,None,493.4,493.1,493.7,92.99,None,None,None,NeptuneSB
LegandExp_171B,DSDP,Site_1050,Hole_1050C,B,Eiffellithus_eximius_Base_Depth,Eiffellithus eximius Base Depth,Records179_Eiffellithus_eximius,None,"171_1050C,20-3,13","171_1050C,20-3,13",None,493.68,493.68,493.68,92.99,None,None,None,NeptuneSB
LegandExp_44,DSDP,Site_390,Hole_390A,T,Eiffellithus_eximius_Top_Depth,Eiffellithus eximius Top Depth,Records180_Eiffellithus_eximius,None,"44_390A,14-5,14","44_390A,14-5,72",None,139.43,139.14,139.72,75.93,None,None,None,NeptuneSB
LegandExp_44,DSDP,Site_390,Hole_390A,B,Eiffellithus_eximius_Base_Depth,Eiffellithus eximius Base Depth,Records181_Eiffellithus_eximius,None,"44_390A,14-5,72","44_390A,14-5,122",None,139.97,139.72,140.22,92.99,None,None,None,NeptuneSB
LegandExp_369,IODP2,Site_None,Hole_U1514C,T,Eiffellithus_eximius_Top_Depth,Eiffellithus eximius Top Depth,Records182_Eiffellithus_eximius,"26R-3,136-136",None,None,CSF-A(m),423.215,425.16,421.27,75.93,None,None,None,IODP_Proceedings_
LegandExp_369,IODP2,Site_None,Hole_U1513D,B,Zeugrhabdotus_biperforatus_Base_Depth,Zeugrhabdotus biperforatus Base Depth,Records183_Zeugrhabdotus_biperforatus,"10R-CC,24-29",None,None,CSF-A(m),181.38,187.42,175.34,90.71,None,None,None,IODP_Proceedings_
LegandExp_171B,ODP,Site_1050,Hole_1050C,B,Micula_staurophora_Base_Depth,Micula staurophora Base Depth,Records184_Micula_staurophora,None,None,None,None,493.69,493.7,493.68,89.77,2.6931,89.77,None,Neptune
LegandExp_122,ODP,Site_762,Hole_762C,B,Micula_staurophora_Base_Depth,Micula staurophora Base Depth,Records185_Micula_staurophora,None,None,None,None,786.2,786.2,786.2,89.77,2.6931,89.77,None,Neptune
LegandExp_122,ODP,Site_763,Hole_763B,B,Micula_staurophora_Base_Depth,Micula staurophora Base Depth,Records186_Micula_staurophora,None,"19-2,3","19-2,3",None,353.03,353.03,353.03,89.77,2.6931,89.77,None,Neptune
LegandExp_17,DSDP,Site_167,Hole_167,B,Micula_staurophora_Base_Depth,Micula staurophora Base Depth,Records188_Micula_staurophora,None,"17_167,60-CC","17_167,61-1,37",None,847.685,844,851.37,89.77,None,None,None,NeptuneSB
LegandExp_17,DSDP,Site_170,Hole_170,B,Micula_staurophora_Base_Depth,Micula staurophora Base Depth,Records189_Micula_staurophora,None,"17_170,12-CC","17_170,13-CC",None,157,157,None,89.77,None,None,None,NeptuneSB
LegandExp_26,DSDP,Site_258,Hole_258,B,Micula_staurophora_Base_Depth,Micula staurophora Base Depth,Records190_Micula_staurophora,None,"26_258,7-2,110","26_258,13-CC",None,207.05,154.6,259.5,89.77,None,None,None,NeptuneSB
LegandExp_62,DSDP,Site_463,Hole_463,B,Micula_staurophora_Base_Depth,Micula staurophora Base Depth,Records191_Micula_staurophora,None,None,None,None,300.05,300,300.1,89.77,None,None,None,NeptuneSB
LegandExp_171B,DSDP,Site_1050,Hole_1050C,B,Micula_staurophora_Base_Depth,Micula staurophora Base Depth,Records192_Micula_staurophora,None,None,None,None,493.69,493.7,493.68,89.77,None,None,None,NeptuneSB
LegandExp_44,DSDP,Site_390,Hole_390A,B,Micula_staurophora_Base_Depth,Micula staurophora Base Depth,Records193_Micula_staurophora,None,"44_390A,14-5,72","44_390A,14-5,122",None,139.97,139.72,140.22,89.77,None,None,None,NeptuneSB
LegandExp_369,IODP2,Site_None,Hole_U1512A,B,Micula_staurophora_Base_Depth,Micula staurophora Base Depth,Records194_Micula_staurophora,"22R-CC,33-38",None,None,CSF-A(m),254.03,211.2,296.86,89.77/87.28,None,None,None,IODP_Proceedings_
LegandExp_369,IODP2,Site_None,Hole_U1513A,B,Micula_staurophora_Base_Depth,Micula staurophora Base Depth,Records195_Micula_staurophora,"28R-1,18-24",None,None,CSF-A(m),168.365,169.73,167,89.77,None,None,None,IODP_Proceedings_
LegandExp_369,IODP2,Site_None,Hole_U1513D,B,Micula_staurophora_Base_Depth,Micula staurophora Base Depth,Records196_Micula_staurophora,"9R-CC,11-16",None,None,CSF-A(m),169.695,175.38,164.01,89.77,None,None,None,IODP_Proceedings_
LegandExp_198,ODP,Site_1213,Hole_1213A,B,Lithastrinus_grillii_Base_Depth,Lithastrinus grillii Base Depth,Records197_Lithastrinus_grillii,None,"7-1,43","7-1,43",None,56.83,56.83,56.83,86.5,2.595,86.5,None,Neptune
LegandExp_122,ODP,Site_763,Hole_763B,T,Lithastrinus_grillii_Top_Depth,Lithastrinus grillii Top Depth,Records198_Lithastrinus_grillii,None,"14-1,3.1","14-1,3.1",None,304.03,304.03,304.03,79.73,2.3919,79.73,None,Neptune
LegandExp_122,ODP,Site_763,Hole_763B,B,Lithastrinus_grillii_Base_Depth,Lithastrinus grillii Base Depth,Records200_Lithastrinus_grillii,None,"17-4,2.9","17-4,2.9",None,337.02,337.02,337.02,86.5,2.595,86.5,None,Neptune
LegandExp_198,ODP,Site_1213,Hole_1213A,B,Lithastrinus_grillii_Base_Depth,Lithastrinus grillii Base Depth,Records202_Lithastrinus_grillii,None,"7R-1,43",None,mbsf,56.43,None,None,85.5,None,None,None,odp\Initial Reports\198_IR\IR198_09\table5.xlsx
LegandExp_198,ODP,Site_1213,Hole_1213B,B,Lithastrinus_grillii_Base_Depth,Lithastrinus grillii Base Depth,Records203_Lithastrinus_grillii,None,None,None,mbsf,57.53,None,None,85.5,None,None,None,odp\Initial Reports\198_IR\IR198_09\table5.xlsx
LegandExp_14,DSDP,Site_144,Hole_144,T,Lithastrinus_grillii_Top_Depth,Lithastrinus grillii Top Depth,Records204_Lithastrinus_grillii,None,"14_144,3-1,107","14_144,3-2,30",None,163.435,163.07,163.8,79.73,None,None,None,NeptuneSB
LegandExp_17,DSDP,Site_171,Hole_171,B,Lithastrinus_grillii_Base_Depth,Lithastrinus grillii Base Depth,Records205_Lithastrinus_grillii,None,"17_171,25-6,70","17_171,26-1,120",None,324.7,323.2,326.2,86.5,None,None,None,NeptuneSB
LegandExp_26,DSDP,Site_258,Hole_258,T,Lithastrinus_grillii_Top_Depth,Lithastrinus grillii Top Depth,Records206_Lithastrinus_grillii,None,None,None,None,120.23,119.94,120.52,79.73,None,None,None,NeptuneSB
LegandExp_26,DSDP,Site_258,Hole_258,B,Lithastrinus_grillii_Base_Depth,Lithastrinus grillii Base Depth,Records207_Lithastrinus_grillii,None,"26_258,13-CC","26_258,14-1,85",None,261.675,259.5,263.85,86.5,None,None,None,NeptuneSB
LegandExp_39,DSDP,Site_356,Hole_356,T,Lithastrinus_grillii_Top_Depth,Lithastrinus grillii Top Depth,Records208_Lithastrinus_grillii,None,"39_356,35-1,70","39_356,35-2,70",None,543.45,542.7,544.2,79.73,None,None,None,NeptuneSB
LegandExp_39,DSDP,Site_356,Hole_356,B,Lithastrinus_grillii_Base_Depth,Lithastrinus grillii Base Depth,Records209_Lithastrinus_grillii,None,"39_356,41-4,70","39_356,41-4,117",None,708.435,708.2,708.67,86.5,None,None,None,NeptuneSB
LegandExp_369,IODP2,Site_None,Hole_U1513A,B,Lithastrinus_grillii_Base_Depth,Lithastrinus grillii Base Depth,Records210_Lithastrinus_grillii,"18X-CC,0-5",None,None,CSF-A(m),114.72,120.8,108.64,86.5,None,None,None,IODP_Proceedings_
