index,REPLACE1,REPLACE2,REPLACE3,REPLACE4,REPLACE5,REPLACE6,REPLACE7,REPLACE8,REPLACE9,REPLACE10,REPLACE11,REPLACE12,REPLACE13,REPLACE14,REPLACE15,REPLACE16,REPLACE17,REPLACE18,REPLACE19
24,Lucianorhabdus_quadrifidus,Lucianorhabdus quadrifidus,"Wind & Cepek, 1979",Lucianorhabdus,Lucianorhabdus_quadrifidus_Geologic_Range,Lucianorhabdus quadrifidus Geologic Range,Lucianorhabdus_quadrifidus_Base_Time,Lucianorhabdus quadrifidus Base Time,Lucianorhabdus_quadrifidus_Top_Time,Lucianorhabdus quadrifidus Top Time,Lucianorhabdus_quadrifidus_Base_NumericTime,Lucianorhabdus quadrifidus Base NumericTime,Lucianorhabdus_quadrifidus_Top_NumericTime,Lucianorhabdus quadrifidus Top NumericTime,90.23,92.53,Null,Null,L.  phlaskus
25,Thiersteinia_ecclesiastica,Thiersteinia ecclesiastica,"Lees, 2007",Thiersteinia,Thiersteinia_ecclesiastica_Geologic_Range,Thiersteinia ecclesiastica Geologic Range,Thiersteinia_ecclesiastica_Base_Time,Thiersteinia ecclesiastica Base Time,Thiersteinia_ecclesiastica_Top_Time,Thiersteinia ecclesiastica Top Time,Thiersteinia_ecclesiastica_Base_NumericTime,Thiersteinia ecclesiastica Base NumericTime,Thiersteinia_ecclesiastica_Top_NumericTime,Thiersteinia ecclesiastica Top NumericTime,Null,Null,Null,Null,T.  varolii
26,Zeugrhabdotus_biperforatus,Zeugrhabdotus biperforatus,"(Gartner, 1968) Burnett, 1997",Zeugrhabdotus,Zeugrhabdotus_biperforatus_Geologic_Range,Zeugrhabdotus biperforatus Geologic Range,Zeugrhabdotus_biperforatus_Base_Time,Zeugrhabdotus biperforatus Base Time,Zeugrhabdotus_biperforatus_Top_Time,Zeugrhabdotus biperforatus Top Time,Zeugrhabdotus_biperforatus_Base_NumericTime,Zeugrhabdotus biperforatus Base NumericTime,Zeugrhabdotus_biperforatus_Top_NumericTime,Zeugrhabdotus biperforatus Top NumericTime,89.95,91.33,Null,Null,Z.  biperforatus
27,Broinsonia_parca_expansa,Broinsonia parca expansa,"(Stradner, 1963) Bukry, 1969",Broinsonia,Broinsonia_parca_expansa_Geologic_Range,Broinsonia parca expansa Geologic Range,Broinsonia_parca_expansa_Base_Time,Broinsonia parca expansa Base Time,Broinsonia_parca_expansa_Top_Time,Broinsonia parca expansa Top Time,Broinsonia_parca_expansa_Base_NumericTime,Broinsonia parca expansa Base NumericTime,Broinsonia_parca_expansa_Top_NumericTime,Broinsonia parca expansa Top NumericTime,89.49,89.49,Null,Null,A.  parca
28,Micula_stauropora,Micula stauropora,"(Gardet, 1955) Stradner, 1963",Micula,Micula_stauropora_Geologic_Range,Micula stauropora Geologic Range,Micula_stauropora_Base_Time,Micula stauropora Base Time,Micula_stauropora_Top_Time,Micula stauropora Top Time,Micula_stauropora_Base_NumericTime,Micula stauropora Base NumericTime,Micula_stauropora_Top_NumericTime,Micula stauropora Top NumericTime,87.18,89.39,Null,Null,D.  staurophorus
29,Zeugrhabdotus_kerguelenensis,Zeugrhabdotus kerguelenensis,"Watkins, 1992",Zeugrhabdotus,Zeugrhabdotus_kerguelenensis_Geologic_Range,Zeugrhabdotus kerguelenensis Geologic Range,Zeugrhabdotus_kerguelenensis_Base_Time,Zeugrhabdotus kerguelenensis Base Time,Zeugrhabdotus_kerguelenensis_Top_Time,Zeugrhabdotus kerguelenensis Top Time,Zeugrhabdotus_kerguelenensis_Base_NumericTime,Zeugrhabdotus kerguelenensis Base NumericTime,Zeugrhabdotus_kerguelenensis_Top_NumericTime,Zeugrhabdotus kerguelenensis Top NumericTime,Null,Null,Null,Null,Z.  kerguelenensis
30,Lithastrinus_grillii,Lithastrinus grillii,"Stradner & Steinmetz, 1984",Lithastrinus,Lithastrinus_grillii_Geologic_Range,Lithastrinus grillii Geologic Range,Lithastrinus_grillii_Base_Time,Lithastrinus grillii Base Time,Lithastrinus_grillii_Top_Time,Lithastrinus grillii Top Time,Lithastrinus_grillii_Base_NumericTime,Lithastrinus grillii Base NumericTime,Lithastrinus_grillii_Top_NumericTime,Lithastrinus grillii Top NumericTime,85.97,85.97,79.73,79.73,L.  atlanticus
31,Lucianorhabdus_cayeuxii,Lucianorhabdus cayeuxii,"Lees, 2007",Lucianorhabdus,Lucianorhabdus_cayeuxii_Geologic_Range,Lucianorhabdus cayeuxii Geologic Range,Lucianorhabdus_cayeuxii_Base_Time,Lucianorhabdus cayeuxii Base Time,Lucianorhabdus_cayeuxii_Top_Time,Lucianorhabdus cayeuxii Top Time,Lucianorhabdus_cayeuxii_Base_NumericTime,Lucianorhabdus cayeuxii Base NumericTime,Lucianorhabdus_cayeuxii_Top_NumericTime,Lucianorhabdus cayeuxii Top NumericTime,85.84,85.84,Null,Null,L.  boudagherfadeliae
32,Lithastrinus_septenarius,Lithastrinus septenarius,"Farhan, 1987",Lithastrinus,Lithastrinus_septenarius_Geologic_Range,Lithastrinus septenarius Geologic Range,Lithastrinus_septenarius_Base_Time,Lithastrinus septenarius Base Time,Lithastrinus_septenarius_Top_Time,Lithastrinus septenarius Top Time,Lithastrinus_septenarius_Base_NumericTime,Lithastrinus septenarius Base NumericTime,Lithastrinus_septenarius_Top_NumericTime,Lithastrinus septenarius Top NumericTime,90.14 (Lithastrinus septenarius(sensu lato)),92.24 (Lithastrinus septenarius(sensu lato)),85.3,85.3,L.  quadricuspis
33,Arkhangelskiella_cymbiformis,Arkhangelskiella cymbiformis,"Bown, 1985",Arkhangelskiella,Arkhangelskiella_cymbiformis_Geologic_Range,Arkhangelskiella cymbiformis Geologic Range,Arkhangelskiella_cymbiformis_Base_Time,Arkhangelskiella cymbiformis Base Time,Arkhangelskiella_cymbiformis_Top_Time,Arkhangelskiella cymbiformis Top Time,Arkhangelskiella_cymbiformis_Base_NumericTime,Arkhangelskiella cymbiformis Base NumericTime,Arkhangelskiella_cymbiformis_Top_NumericTime,Arkhangelskiella cymbiformis Top NumericTime,83.96,83.33,Null,Null,A.  koesseni
34,Orastrum_campanensis,Orastrum campanensis,"Wind & Wise in Wise & Wind, 1977",Orastrum,Orastrum_campanensis_Geologic_Range,Orastrum campanensis Geologic Range,Orastrum_campanensis_Base_Time,Orastrum campanensis Base Time,Orastrum_campanensis_Top_Time,Orastrum campanensis Top Time,Orastrum_campanensis_Base_NumericTime,Orastrum campanensis Base NumericTime,Orastrum_campanensis_Top_NumericTime,Orastrum campanensis Top NumericTime,82.76(FCO),82.76(FCO),77.04,77.04,O.  asarotum
35,Broinsonia_parca_parca,Broinsonia parca parca,"(Stradner, 1963) Bukry, 1969",Broinsonia,Broinsonia_parca_parca_Geologic_Range,Broinsonia parca parca Geologic Range,Broinsonia_parca_parca_Base_Time,Broinsonia parca parca Base Time,Broinsonia_parca_parca_Top_Time,Broinsonia parca parca Top Time,Broinsonia_parca_parca_Base_NumericTime,Broinsonia parca parca Base NumericTime,Broinsonia_parca_parca_Top_NumericTime,Broinsonia parca parca Top NumericTime,82.79,81.43,Null,Null,A.  parca
36,Broinsonia_parca_constricta,Broinsonia parca constricta,"(Stradner, 1963) Bukry, 1969",Broinsonia,Broinsonia_parca_constricta_Geologic_Range,Broinsonia parca constricta Geologic Range,Broinsonia_parca_constricta_Base_Time,Broinsonia parca constricta Base Time,Broinsonia_parca_constricta_Top_Time,Broinsonia parca constricta Top Time,Broinsonia_parca_constricta_Base_NumericTime,Broinsonia parca constricta Base NumericTime,Broinsonia_parca_constricta_Top_NumericTime,Broinsonia parca constricta Top NumericTime,82.29,81.38,71.94,71.94,A.  parca
37,Bukryaster_hayi,Bukryaster hayi,Bergen et al. 2013,Bukryaster,Bukryaster_hayi_Geologic_Range,Bukryaster hayi Geologic Range,Bukryaster_hayi_Base_Time,Bukryaster hayi Base Time,Bukryaster_hayi_Top_Time,Bukryaster hayi Top Time,Bukryaster_hayi_Base_NumericTime,Bukryaster hayi Base NumericTime,Bukryaster_hayi_Top_NumericTime,Bukryaster hayi Top NumericTime,Null,Null,Null,Null,B.  lusitanicus
38,Ceratolithoides_verbeekii,Ceratolithoides verbeekii,"Burnett, 1997",Ceratolithoides,Ceratolithoides_verbeekii_Geologic_Range,Ceratolithoides verbeekii Geologic Range,Ceratolithoides_verbeekii_Base_Time,Ceratolithoides verbeekii Base Time,Ceratolithoides_verbeekii_Top_Time,Ceratolithoides verbeekii Top Time,Ceratolithoides_verbeekii_Base_NumericTime,Ceratolithoides verbeekii Base NumericTime,Ceratolithoides_verbeekii_Top_NumericTime,Ceratolithoides verbeekii Top NumericTime,81.21,81.21,Null,Null,C.  ultimus
